Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1743554794,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554795,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554796,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554797,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554798,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554799,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554801,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554802,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554803,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554804,3374532,2342439,2332450,2328911,2367095,2339183,2374740,2357136
1743554805,3374532,2342439,2332450,2328911,2367095,2339184,2374740,2357136
1743554806,3374532,2342439,2332450,2328911,2367095,2339184,2374740,2357136
1743554807,3374534,2342440,2332452,2328913,2367096,2339185,2374742,2357137
1743554808,3374537,2342443,2332455,2328915,2367099,2339188,2374745,2357140
1743554809,3374539,2342445,2332457,2328918,2367102,2339190,2374747,2357143
1743554811,3374541,2342448,2332459,2328920,2367104,2339192,2374750,2357145
1743554812,3380949,2348849,2338885,2335341,2373526,2345644,2381181,2363608
1743554813,3399079,2366753,2356761,2352913,2391929,2363185,2399483,2381536
1743554814,3406315,2373936,2363930,2360012,2398281,2369545,2405848,2387908
1743554815,3425356,2392238,2383009,2378451,2417943,2388832,2425727,2407277
1743554816,3449017,2415229,2406678,2401270,2442584,2412449,2450108,2431482
1743554817,3471985,2437731,2429486,2423530,2465004,2434150,2471942,2453402
1743554818,3495883,2460440,2452645,2446662,2488670,2457165,2495051,2476433
1743554820,3519556,2483537,2476213,2469792,2512181,2480312,2518541,2499540
1743554821,3542435,2505843,2498917,2492007,2534259,2502000,2540632,2521229
1743554822,3565903,2528399,2521573,2514331,2557567,2525051,2563756,2544171
1743554823,3589479,2551528,2544736,2536933,2581009,2548962,2587855,2568030
1743554824,3612247,2574057,2567675,2559479,2603194,2570871,2610022,2590145
1743554825,3635388,2596940,2590605,2582502,2626288,2593444,2633121,2612809
1743554826,3658005,2619130,2613412,2605160,2649695,2616490,2656460,2635889
1743554827,3681032,2641299,2635873,2627630,2671621,2638068,2678557,2657956
1743554828,3704674,2664242,2658819,2650488,2694897,2661698,2702311,2681546
1743554830,3727677,2686186,2681215,2672656,2717423,2683898,2724679,2703761
1743554831,3751095,2708778,2702199,2694118,2738960,2704848,2746342,2725037
1743554832,3773012,2730471,2724408,2715473,2761228,2726546,2768396,2747170
1743554833,3795951,2753113,2746263,2737151,2782972,2747959,2790260,2768639
1743554834,3818868,2775625,2767888,2758721,2805522,2770398,2812958,2790953
1743554835,3841294,2797693,2789123,2780025,2827708,2792169,2834973,2812529
1743554836,3864189,2820161,2810607,2801584,2849939,2814325,2857462,2834650
1743554837,3886230,2842105,2832131,2823329,2871321,2835354,2878811,2855761
