Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Local matrix size       = 184.844 GiBs
Total device memory use = 189.112 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0.1% | 000000640 |    0.5528471  |          | 5.878e+04| 5.874e+04|            |            |  6.886e-02 | 4.961e-02 |   4.334e-01  |  4.587e+05  |    4.056e+05   
  0.3% | 000001280 |    0.5945507  | 5.532e+04| 5.882e+04| 5.861e+04|  4.839e-02 |  1.204e-02 |  1.653e-02 | 4.036e-02 |   4.847e-01  |  4.253e+05  |    4.152e+05   
  0.4% | 000001920 |    0.5613655  |          | 5.887e+04| 5.864e+04|            |            |  7.346e-02 | 6.193e-02 |   4.254e-01  |  4.492e+05  |    4.259e+05   
  0.6% | 000002560 |    0.5928535  | 5.503e+04| 5.879e+04| 5.868e+04|  4.836e-02 |  6.523e-03 |  1.670e-02 | 3.057e-02 |   4.931e-01  |  4.241e+05  |    4.255e+05   
  0.7% | 000003200 |    0.5507456  |          | 5.890e+04| 5.874e+04|            |            |  6.485e-02 | 4.847e-02 |   4.368e-01  |  4.552e+05  |    4.311e+05   
  0.9% | 000003840 |    0.5870518  | 5.487e+04| 5.887e+04| 5.872e+04|  4.863e-02 |  1.212e-02 |  1.662e-02 | 2.994e-02 |   4.878e-01  |  4.258e+05  |    4.302e+05   
  1.0% | 000004480 |    0.5520260  |          | 5.896e+04| 5.876e+04|            |            |  6.538e-02 | 5.697e-02 |   4.292e-01  |  4.515e+05  |    4.331e+05   
  1.1% | 000005120 |    0.5862822  | 5.536e+04| 5.886e+04| 5.878e+04|  4.881e-02 |  6.342e-03 |  1.656e-02 | 2.870e-02 |   4.882e-01  |  4.239e+05  |    4.319e+05   
  1.3% | 000005760 |    0.5437874  |          | 5.899e+04| 5.879e+04|            |            |  5.840e-02 | 4.798e-02 |   4.369e-01  |  4.557e+05  |    4.344e+05   
