Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Local matrix size       = 2.96092 GiBs
Total device memory use = 3.5162 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1.1% | 000000640 |    0.0330729  |          | 6.331e+04| 6.166e+04|            |            |  2.279e-02 | 4.719e-03 |   4.817e-03  |  1.186e+05  |    6.979e+04   
  2.3% | 000001280 |    0.0389351  | 5.267e+04| 6.058e+04| 6.014e+04|  2.057e-02 |  7.944e-03 |  2.036e-03 | 1.369e-02 |   2.621e-05  |  9.844e+04  |    8.150e+04   
  3.4% | 000001920 |    0.0357040  |          | 6.143e+04| 5.843e+04|            |            |  2.176e-02 | 1.349e-02 |   2.047e-05  |  1.048e+05  |    8.786e+04   
  4.6% | 000002560 |    0.0312179  | 5.144e+04| 6.449e+04| 6.324e+04|  1.945e-02 |  6.133e-03 |  1.972e-03 | 3.300e-03 |   4.575e-03  |  1.171e+05  |    9.348e+04   
  5.7% | 000003200 |    0.0309387  |          | 6.866e+04| 6.018e+04|            |            |  2.211e-02 | 3.733e-03 |   4.567e-03  |  1.153e+05  |    9.697e+04   
  6.9% | 000003840 |    0.0314293  | 5.498e+04| 6.271e+04| 6.288e+04|  1.995e-02 |  7.492e-03 |  1.871e-03 | 3.066e-03 |   4.160e-03  |  1.108e+05  |    9.890e+04   
  8.0% | 000004480 |    0.0302864  |          | 6.686e+04| 6.127e+04|            |            |  2.209e-02 | 3.545e-03 |   4.163e-03  |  1.122e+05  |    1.005e+05   
  9.2% | 000005120 |    0.0305253  | 4.438e+04| 6.211e+04| 6.386e+04|  1.927e-02 |  6.070e-03 |  1.875e-03 | 3.112e-03 |   3.943e-03  |  1.086e+05  |    1.013e+05   
 10.3% | 000005760 |    0.0293020  |          | 6.630e+04| 6.226e+04|            |            |  2.172e-02 | 3.252e-03 |   3.836e-03  |  1.103e+05  |    1.022e+05   
 11.5% | 000006400 |    0.0303473  | 4.188e+04| 6.265e+04| 6.274e+04|  1.963e-02 |  7.373e-03 |  1.797e-03 | 3.020e-03 |   3.517e-03  |  1.038e+05  |    1.023e+05   
 12.6% | 000007040 |    0.0289858  |          | 6.836e+04| 6.029e+04|            |            |  2.177e-02 | 3.110e-03 |   3.655e-03  |  1.059e+05  |    1.026e+05   
 13.8% | 000007680 |    0.0293539  | 4.232e+04| 6.015e+04| 6.559e+04|  1.904e-02 |  6.075e-03 |  1.777e-03 | 2.924e-03 |   3.321e-03  |  1.018e+05  |    1.025e+05   
 14.9% | 000008320 |    0.0281500  |          | 6.914e+04| 6.402e+04|            |            |  2.136e-02 | 3.187e-03 |   3.111e-03  |  1.034e+05  |    1.026e+05   
 16.1% | 000008960 |    0.0293255  | 4.643e+04| 6.052e+04| 6.271e+04|  1.942e-02 |  7.308e-03 |  1.693e-03 | 2.975e-03 |   2.913e-03  |  9.658e+04  |    1.022e+05   
 17.2% | 000009600 |    0.0281475  |          | 6.660e+04| 6.260e+04|            |            |  2.143e-02 | 3.279e-03 |   2.956e-03  |  9.791e+04  |    1.019e+05   
 18.4% | 000010240 |    0.0284163  | 4.536e+04| 6.111e+04| 6.516e+04|  1.886e-02 |  6.067e-03 |  1.693e-03 | 2.859e-03 |   2.551e-03  |  9.432e+04  |    1.015e+05   
 19.5% | 000010880 |    0.0275045  |          | 6.889e+04| 6.505e+04|            |            |  2.137e-02 | 3.086e-03 |   2.565e-03  |  9.474e+04  |    1.012e+05   
 20.7% | 000011520 |    0.0284259  | 4.717e+04| 5.884e+04| 6.353e+04|  1.942e-02 |  7.328e-03 |  1.636e-03 | 2.704e-03 |   2.396e-03  |  8.909e+04  |    1.006e+05   
 21.8% | 000012160 |    0.0271330  |          | 6.686e+04| 6.147e+04|            |            |  2.111e-02 | 3.079e-03 |   2.483e-03  |  9.067e+04  |    1.001e+05   
 23.0% | 000012800 |    0.0275963  | 3.945e+04| 5.930e+04| 6.462e+04|  1.878e-02 |  6.031e-03 |  1.597e-03 | 2.640e-03 |   2.282e-03  |  8.656e+04  |    9.952e+04   
 24.1% | 000013440 |    0.0265626  |          | 6.695e+04| 6.278e+04|            |            |  2.099e-02 | 2.869e-03 |   2.213e-03  |  8.729e+04  |    9.902e+04   
 25.3% | 000014080 |    0.0275974  | 3.789e+04| 6.121e+04| 6.503e+04|  1.928e-02 |  7.295e-03 |  1.504e-03 | 2.602e-03 |   1.987e-03  |  8.151e+04  |    9.831e+04   
 26.4% | 000014720 |    0.0259843  |          | 6.871e+04| 6.243e+04|            |            |  2.072e-02 | 2.786e-03 |   2.025e-03  |  8.394e+04  |    9.779e+04   
 27.6% | 000015360 |    0.0268376  | 4.488e+04| 6.076e+04| 6.454e+04|  1.887e-02 |  6.228e-03 |  1.505e-03 | 2.452e-03 |   1.873e-03  |  7.877e+04  |    9.709e+04   
 28.7% | 000016000 |    0.0256024  |          | 6.473e+04| 6.079e+04|            |            |  2.066e-02 | 2.669e-03 |   1.779e-03  |  7.999e+04  |    9.651e+04   
 29.9% | 000016640 |    0.0267467  | 3.929e+04| 5.954e+04| 6.359e+04|  1.915e-02 |  7.082e-03 |  1.420e-03 | 2.488e-03 |   1.587e-03  |  7.414e+04  |    9.575e+04   
 31.0% | 000017280 |    0.0249091  |          | 6.506e+04| 6.415e+04|            |            |  2.037e-02 | 2.569e-03 |   1.541e-03  |  7.704e+04  |    9.518e+04   
