Timestamp,gpu0r0,gpu0w0,gpu0r1,gpu0w1,gpu0r2,gpu0w2,gpu0r3,gpu0w3,gpu0r4,gpu0w4,gpu0r5,gpu0w5,gpu0r6,gpu0w6,gpu0r7,gpu0w7,gpu1r0,gpu1w0,gpu1r1,gpu1w1,gpu1r2,gpu1w2,gpu1r3,gpu1w3,gpu1r4,gpu1w4,gpu1r5,gpu1w5,gpu1r6,gpu1w6,gpu1r7,gpu1w7,gpu2r0,gpu2w0,gpu2r1,gpu2w1,gpu2r2,gpu2w2,gpu2r3,gpu2w3,gpu2r4,gpu2w4,gpu2r5,gpu2w5,gpu2r6,gpu2w6,gpu2r7,gpu2w7,gpu3r0,gpu3w0,gpu3r1,gpu3w1,gpu3r2,gpu3w2,gpu3r3,gpu3w3,gpu3r4,gpu3w4,gpu3r5,gpu3w5,gpu3r6,gpu3w6,gpu3r7,gpu3w7,gpu4r0,gpu4w0,gpu4r1,gpu4w1,gpu4r2,gpu4w2,gpu4r3,gpu4w3,gpu4r4,gpu4w4,gpu4r5,gpu4w5,gpu4r6,gpu4w6,gpu4r7,gpu4w7,gpu5r0,gpu5w0,gpu5r1,gpu5w1,gpu5r2,gpu5w2,gpu5r3,gpu5w3,gpu5r4,gpu5w4,gpu5r5,gpu5w5,gpu5r6,gpu5w6,gpu5r7,gpu5w7,gpu6r0,gpu6w0,gpu6r1,gpu6w1,gpu6r2,gpu6w2,gpu6r3,gpu6w3,gpu6r4,gpu6w4,gpu6r5,gpu6w5,gpu6r6,gpu6w6,gpu6r7,gpu6w7,gpu7r0,gpu7w0,gpu7r1,gpu7w1,gpu7r2,gpu7w2,gpu7r3,gpu7w3,gpu7r4,gpu7w4,gpu7r5,gpu7w5,gpu7r6,gpu7w6,gpu7r7,gpu7w7
1743555105,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555107,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555108,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555110,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555111,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555113,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555114,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555116,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555117,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
1743555119,N/A,N/A,438854595,446998902,1,1,480365314,482170445,1,1,115694593,117874740,1,1,781656734,783667632",0,0,N/A,N/A,1,1,482942091,482627123,2,1,1,1,115378646,115991447,783583295,781669278",0,0,444837026,444680659,N/A,N/A,2,1,1,1,777187263,775318674,117874739,115694592,477845897,478910899",0,0,447540994,446231287,1,1,N/A,N/A,1,1,116039855,115376309,775318673,777187263,481384044,481381781",0,0,116416866,118355186,0,1,482226576,480359987,N/A,N/A,0,1,449665490,450626211,777255294,777994498",0,0,113831843,113184845,0,1,486370989,482251720,0,1,N/A,N/A,0,1,772523872,775035707",0,0,118355186,116416864,0,1,0,1,0,1,443917785,445483387,N/A,N/A,479984533,478014289",0,0,110372616,112369105,0,1,0,1,0,1,775722302,773790906,447398752,448708260,N/A,N/A"
