Node Binding: Process 3 [(p,q)=(3,0)] GPU: 3, CPU Cores: 10 - {60-78}
Node Binding: Process 6 [(p,q)=(2,1)] GPU: 6, CPU Cores: 10 - {41-59}
Node Binding: Process 7 [(p,q)=(3,1)] GPU: 7, CPU Cores: 10 - {61-79}
Node Binding: Process 1 [(p,q)=(1,0)] GPU: 1, CPU Cores: 10 - {20-38}
Node Binding: Process 0 [(p,q)=(0,0)] GPU: 0, CPU Cores: 10 - {0-18}
Node Binding: Process 2 [(p,q)=(2,0)] GPU: 2, CPU Cores: 10 - {40-58}
Node Binding: Process 4 [(p,q)=(0,1)] GPU: 4, CPU Cores: 10 - {1-19}
Node Binding: Process 5 [(p,q)=(1,1)] GPU: 5, CPU Cores: 10 - {21-39}
Local matrix size       = 11.6956 GiBs
Total device memory use = 12.7791 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0.6% | 000000640 |    0.0669464  |          | 5.932e+04| 5.765e+04|            |            |  2.715e-02 | 1.653e-02 |   2.242e-02  |  2.357e+05  |    1.644e+05   
  1.1% | 000001280 |    0.0578801  | 6.439e+04| 5.858e+04| 6.298e+04|  2.261e-02 |  7.844e-03 |  4.103e-03 | 1.759e-02 |   1.091e-02  |  2.695e+05  |    2.039e+05   
  1.7% | 000001920 |    0.0594424  |          | 7.054e+04| 5.768e+04|            |            |  2.884e-02 | 1.714e-02 |   1.302e-02  |  2.594e+05  |    2.194e+05   
  2.3% | 000002560 |    0.0580081  | 6.004e+04| 5.772e+04| 6.329e+04|  2.300e-02 |  6.720e-03 |  4.112e-03 | 7.276e-03 |   2.123e-02  |  2.627e+05  |    2.286e+05   
  2.9% | 000003200 |    0.0552251  |          | 6.890e+04| 5.852e+04|            |            |  2.637e-02 | 7.316e-03 |   2.107e-02  |  2.728e+05  |    2.361e+05   
  3.4% | 000003840 |    0.0557936  | 5.918e+04| 5.655e+04| 6.326e+04|  2.205e-02 |  7.505e-03 |  4.002e-03 | 7.380e-03 |   1.998e-02  |  2.668e+05  |    2.406e+05   
  4.0% | 000004480 |    0.0546602  |          | 7.010e+04| 5.762e+04|            |            |  2.685e-02 | 6.549e-03 |   2.083e-02  |  2.691e+05  |    2.441e+05   
  4.6% | 000005120 |    0.0553616  | 5.876e+04| 6.015e+04| 6.424e+04|  2.251e-02 |  6.341e-03 |  3.978e-03 | 7.056e-03 |   1.936e-02  |  2.625e+05  |    2.462e+05   
  5.2% | 000005760 |    0.0544833  |          | 6.741e+04| 5.829e+04|            |            |  2.709e-02 | 7.057e-03 |   1.985e-02  |  2.636e+05  |    2.479e+05   
  5.7% | 000006400 |    0.0540806  | 5.704e+04| 5.648e+04| 6.423e+04|  2.201e-02 |  7.496e-03 |  3.864e-03 | 7.495e-03 |   1.839e-02  |  2.623e+05  |    2.492e+05   
  6.3% | 000007040 |    0.0536100  |          | 6.716e+04| 5.895e+04|            |            |  2.696e-02 | 7.109e-03 |   1.911e-02  |  2.614e+05  |    2.502e+05   
  6.9% | 000007680 |    0.0542465  | 6.169e+04| 5.730e+04| 6.360e+04|  2.230e-02 |  6.230e-03 |  3.963e-03 | 6.704e-03 |   1.900e-02  |  2.552e+05  |    2.506e+05   
  7.5% | 000008320 |    0.0523623  |          | 6.756e+04| 5.823e+04|            |            |  2.619e-02 | 7.052e-03 |   1.865e-02  |  2.612e+05  |    2.513e+05   
  8.0% | 000008960 |    0.0524364  | 5.404e+04| 5.756e+04| 6.383e+04|  2.172e-02 |  7.374e-03 |  3.738e-03 | 7.136e-03 |   1.747e-02  |  2.576e+05  |    2.517e+05   
  8.6% | 000009600 |    0.0522749  |          | 6.764e+04| 5.804e+04|            |            |  2.693e-02 | 6.853e-03 |   1.803e-02  |  2.552e+05  |    2.519e+05   
  9.2% | 000010240 |    0.0523710  | 5.877e+04| 5.762e+04| 6.485e+04|  2.205e-02 |  6.154e-03 |  3.693e-03 | 6.828e-03 |   1.744e-02  |  2.515e+05  |    2.519e+05   
  9.8% | 000010880 |    0.0515719  |          | 7.161e+04| 5.874e+04|            |            |  2.653e-02 | 7.270e-03 |   1.732e-02  |  2.522e+05  |    2.519e+05   
 10.3% | 000011520 |    0.0505275  | 5.344e+04| 5.918e+04| 6.406e+04|  2.153e-02 |  7.215e-03 |  3.749e-03 | 7.567e-03 |   1.536e-02  |  2.541e+05  |    2.520e+05   
 10.9% | 000012160 |    0.0505212  |          | 7.047e+04| 5.728e+04|            |            |  2.651e-02 | 6.542e-03 |   1.704e-02  |  2.509e+05  |    2.519e+05   
 11.5% | 000012800 |    0.0511080  | 6.123e+04| 5.811e+04| 6.400e+04|  2.205e-02 |  6.246e-03 |  3.799e-03 | 6.797e-03 |   1.610e-02  |  2.449e+05  |    2.516e+05   
