Timestamp,gpu0r0,gpu0w0,gpu0r1,gpu0w1,gpu0r2,gpu0w2,gpu0r3,gpu0w3,gpu0r4,gpu0w4,gpu0r5,gpu0w5,gpu0r6,gpu0w6,gpu0r7,gpu0w7,gpu1r0,gpu1w0,gpu1r1,gpu1w1,gpu1r2,gpu1w2,gpu1r3,gpu1w3,gpu1r4,gpu1w4,gpu1r5,gpu1w5,gpu1r6,gpu1w6,gpu1r7,gpu1w7,gpu2r0,gpu2w0,gpu2r1,gpu2w1,gpu2r2,gpu2w2,gpu2r3,gpu2w3,gpu2r4,gpu2w4,gpu2r5,gpu2w5,gpu2r6,gpu2w6,gpu2r7,gpu2w7,gpu3r0,gpu3w0,gpu3r1,gpu3w1,gpu3r2,gpu3w2,gpu3r3,gpu3w3,gpu3r4,gpu3w4,gpu3r5,gpu3w5,gpu3r6,gpu3w6,gpu3r7,gpu3w7,gpu4r0,gpu4w0,gpu4r1,gpu4w1,gpu4r2,gpu4w2,gpu4r3,gpu4w3,gpu4r4,gpu4w4,gpu4r5,gpu4w5,gpu4r6,gpu4w6,gpu4r7,gpu4w7,gpu5r0,gpu5w0,gpu5r1,gpu5w1,gpu5r2,gpu5w2,gpu5r3,gpu5w3,gpu5r4,gpu5w4,gpu5r5,gpu5w5,gpu5r6,gpu5w6,gpu5r7,gpu5w7,gpu6r0,gpu6w0,gpu6r1,gpu6w1,gpu6r2,gpu6w2,gpu6r3,gpu6w3,gpu6r4,gpu6w4,gpu6r5,gpu6w5,gpu6r6,gpu6w6,gpu6r7,gpu6w7,gpu7r0,gpu7w0,gpu7r1,gpu7w1,gpu7r2,gpu7w2,gpu7r3,gpu7w3,gpu7r4,gpu7w4,gpu7r5,gpu7w5,gpu7r6,gpu7w6,gpu7r7,gpu7w7
1743557307,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557308,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557310,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557311,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557313,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557314,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557316,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557317,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557319,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
1743557320,N/A,N/A,684439993,693934398,1,1,742976162,747310481,1,1,180301117,183258986,1,1,1212800086,1215934127",0,0,N/A,N/A,1,1,744173074,748260126,2,1,1,1,178194264,179085675,1215617378,1212601419",0,0,690870966,690609892,N/A,N/A,2,1,1,1,1208709652,1205664274,183258985,180301117,738723023,743088645",0,0,694188310,692197899,1,1,N/A,N/A,1,1,179134083,178188057,1205664273,1208709651,744685769,746182097",0,0,180699885,183674634,0,1,747352612,742953420,N/A,N/A,0,1,700185004,701363413,1205452460,1212135640",0,0,176852754,176024776,0,1,757629599,746200074,0,1,N/A,N/A,0,1,1210151061,1208098795",0,0,183674634,180699884,0,1,0,1,0,1,690973798,692884294,N/A,N/A,746989840,739846732",0,0,172181072,174774313,0,1,0,1,0,1,1207202467,1203607210,696760262,698511324,N/A,N/A"
