Timestamp,gpu0r0,gpu0w0,gpu0r1,gpu0w1,gpu0r2,gpu0w2,gpu0r3,gpu0w3,gpu0r4,gpu0w4,gpu0r5,gpu0w5,gpu0r6,gpu0w6,gpu0r7,gpu0w7,gpu1r0,gpu1w0,gpu1r1,gpu1w1,gpu1r2,gpu1w2,gpu1r3,gpu1w3,gpu1r4,gpu1w4,gpu1r5,gpu1w5,gpu1r6,gpu1w6,gpu1r7,gpu1w7,gpu2r0,gpu2w0,gpu2r1,gpu2w1,gpu2r2,gpu2w2,gpu2r3,gpu2w3,gpu2r4,gpu2w4,gpu2r5,gpu2w5,gpu2r6,gpu2w6,gpu2r7,gpu2w7,gpu3r0,gpu3w0,gpu3r1,gpu3w1,gpu3r2,gpu3w2,gpu3r3,gpu3w3,gpu3r4,gpu3w4,gpu3r5,gpu3w5,gpu3r6,gpu3w6,gpu3r7,gpu3w7,gpu4r0,gpu4w0,gpu4r1,gpu4w1,gpu4r2,gpu4w2,gpu4r3,gpu4w3,gpu4r4,gpu4w4,gpu4r5,gpu4w5,gpu4r6,gpu4w6,gpu4r7,gpu4w7,gpu5r0,gpu5w0,gpu5r1,gpu5w1,gpu5r2,gpu5w2,gpu5r3,gpu5w3,gpu5r4,gpu5w4,gpu5r5,gpu5w5,gpu5r6,gpu5w6,gpu5r7,gpu5w7,gpu6r0,gpu6w0,gpu6r1,gpu6w1,gpu6r2,gpu6w2,gpu6r3,gpu6w3,gpu6r4,gpu6w4,gpu6r5,gpu6w5,gpu6r6,gpu6w6,gpu6r7,gpu6w7,gpu7r0,gpu7w0,gpu7r1,gpu7w1,gpu7r2,gpu7w2,gpu7r3,gpu7w3,gpu7r4,gpu7w4,gpu7r5,gpu7w5,gpu7r6,gpu7w6,gpu7r7,gpu7w7
1743558629,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558630,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558632,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558633,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558635,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558636,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558638,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558639,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558641,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
1743558642,N/A,N/A,900773493,914104712,1,1,979186475,985013919,1,1,237473133,241399635,1,1,1596886746,1601022036",0,0,N/A,N/A,1,1,980910254,986146755,2,1,1,1,234814560,236098712,1600718579,1596698523",0,0,909861462,909688008,N/A,N/A,2,1,1,1,1591520677,1587888992,241399635,237473132,974221853,980438791",0,0,920903861,911854963,1,1,N/A,N/A,1,1,236134698,234802720,1587888991,1591520676,981253451,983394753",0,0,238091001,242117282,0,1,985098363,979175626,N/A,N/A,0,1,923358356,925230733,1590769895,1599034643",0,0,232898072,232360652,0,1,996174361,983196401,0,1,N/A,N/A,0,1,1597122914,1593469225",0,0,242117282,238091000,0,1,0,1,0,1,910696267,913172636,N/A,N/A,985104444,975607643",0,0,228488239,230799416,0,1,0,1,0,1,1592765023,1588633835,920590792,921666132,N/A,N/A"
