Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1754523407,6698174,0,0,0,0,0,0,0
1754523408,6698174,0,0,0,0,0,0,0
1754523409,6698174,0,0,0,0,0,0,0
1754523410,6698174,0,0,0,0,0,0,0
1754523412,6698174,0,0,0,0,0,0,0
1754523413,6698174,0,0,0,0,0,0,0
1754523414,6698174,0,0,0,0,0,0,0
1754523415,6698174,0,0,0,0,0,0,0
1754523416,6698174,0,0,0,0,0,0,0
1754523417,6698174,0,0,0,0,0,0,0
1754523418,6698174,7,7,7,7,7,7,7
1754523420,6703288,5129,5146,5151,5140,5140,5151,5150
1754523421,6703351,5188,5204,5219,5201,5201,5212,5211
1754523422,6703420,5275,5291,5318,5290,5288,5299,5297
1754523423,6703512,5361,5367,5417,5377,5374,5386,5386
1754523424,6703584,5453,5459,5511,5468,5467,5477,5475
1754523425,6703616,5537,5543,5602,5557,5550,5561,5564
1754523427,6703660,5619,5624,5693,5641,5631,5645,5648
1754523428,6703688,5701,5704,5784,5728,5715,5729,5730
1754523429,6703716,5779,5785,5876,5814,5796,5812,5811
1754523430,6703769,5863,5869,5967,5898,5878,5896,5893
1754523431,6703805,5947,5953,6055,5984,5964,5978,5977
1754523432,6703861,6029,6032,6152,6069,6046,6062,6058
1754523433,6703940,6108,6098,6245,6150,6127,6141,6137
1754523435,6703958,6187,6111,6334,6234,6206,6222,6216
1754523436,6703973,6266,6122,6424,6321,6285,6276,6297
1754523437,6703978,6322,6139,6509,6402,6366,6296,6379
1754523438,6703988,6335,6155,6592,6486,6447,6326,6460
1754523439,6704001,6350,6236,6677,6572,6474,6336,6544
1754523440,6704032,6368,6320,6759,6659,6490,6345,6593
1754523442,6704070,6424,6376,6845,6745,6515,6428,6616
1754523443,6704116,6503,6455,6933,6832,6597,6512,6649
1754523444,6704154,6582,6532,7027,6916,6678,6593,6731
1754523445,6704170,6661,6613,7117,7002,6759,6675,6812
1754523446,6704195,6745,6695,7250,7086,6843,6759,6893
1754523447,6704252,6824,6776,7250,7186,6927,6841,6975
1754523449,6704276,6905,6860,7251,7247,7011,6927,7049
1754523450,6704294,6981,6942,7251,7247,7090,7008,7130
1754523451,6704365,7065,7025,7251,7247,7192,7092,7258
1754523452,6704439,7147,7107,7251,7247,7249,7176,7258
1754523453,6704525,7238,7254,7251,7247,7249,7261,7258
1754523454,6704607,7238,7254,7251,7247,7249,7261,7258
1754523455,6704617,7238,7254,7251,7247,7249,7261,7258
1754523457,6704705,7238,7254,7251,7247,7249,7261,7258
1754523458,6704787,7238,7254,7251,7247,7249,7261,7258
1754523459,6704800,7238,7254,7251,7247,7249,7261,7259
1754523460,6704820,7239,7254,7251,7248,7249,7261,7259
1754523461,6704907,7239,7254,7251,7248,7250,7261,7259
1754523462,6704991,7239,7254,7251,7248,7250,7261,7259
1754523464,6705075,7239,7254,7251,7248,7250,7261,7259
1754523465,6705103,7239,7255,7251,7248,7250,7262,7259
1754523466,6705161,7239,7255,7274,7248,7250,7262,7259
1754523467,6705230,7239,7255,7372,7248,7250,7262,7259
1754523468,6705279,7239,7255,7468,7248,7250,7262,7260
1754523469,6705297,7240,7255,7560,7269,7250,7262,7260
