Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1754523432,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523433,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523434,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523435,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523436,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523437,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523438,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523439,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523440,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523442,286333934,280493189,280620909,280433554,280448786,280441469,280245127,280403585
1754523443,286337736,280497176,280624642,280437286,280452887,280445565,280248866,280407325
1754523444,286338381,280497638,280625371,280438015,280453246,280445919,280249596,280408053
1754523445,286338454,280497720,280625442,280438096,280453317,280445990,280249668,280408126
1754523446,286338529,280497802,280625515,280438178,280453390,280446063,280249741,280408197
1754523447,286338601,280497886,280625587,280438262,280453461,280446134,280249813,280408270
1754523448,286338672,280497970,280625656,280438346,280453532,280446205,280249884,280408341
1754523449,286338745,280498055,280625728,280438429,280453603,280446275,280249956,280408412
1754523451,286338818,280498139,280625801,280438515,280453674,280446346,280250026,280408483
1754523452,286338891,280498224,280625874,280438599,280453745,280446417,280250098,280408556
1754523453,286338964,280498309,280625947,280438683,280453816,280446488,280250168,280408627
1754523454,286339037,280498392,280626020,280438768,280453889,280446561,280250242,280408700
1754523455,286339110,280498476,280626091,280438852,280453960,280446632,280250312,280408771
1754523456,286339181,280498557,280626163,280438936,280454030,280446703,280250383,280408844
1754523457,286339254,280498643,280626236,280439020,280454101,280446774,280250454,280408917
1754523458,286339327,280498727,280626309,280439103,280454172,280446845,280250526,280408987
1754523460,286339397,280498811,280626380,280439187,280454243,280446916,280250596,280409059
1754523461,286339470,280498893,280626453,280439269,280454316,280446989,280250669,280409131
1754523462,286339543,280498977,280626526,280439352,280454386,280447059,280250740,280409204
1754523463,286339616,280499060,280626598,280439436,280454458,280447131,280250811,280409277
1754523464,286339689,280499142,280626671,280439517,280454530,280447203,280250884,280409350
1754523465,286339762,280499224,280626742,280439599,280454602,280447275,280250955,280409421
1754523466,286339835,280499306,280626815,280439682,280454672,280447345,280251026,280409492
1754523467,286339905,280499430,280626886,280439794,280454741,280447414,280251095,280409563
1754523469,286339976,280499450,280626954,280439826,280454810,280447482,280251164,280409631
1754523470,286340042,280499450,280627022,280439826,280454876,280447548,280251230,280409700
1754523471,286340111,280499450,280627091,280439826,280454943,280447615,280251296,280409766
1754523472,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
1754523473,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
1754523474,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
1754523475,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
1754523476,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
1754523478,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
1754523479,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
1754523480,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
1754523481,286340197,280499450,280627184,280439826,280455067,280447739,280251421,280409870
