Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1755094905,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094906,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094907,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094908,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094909,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094910,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094911,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094913,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094914,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094915,3452168273,1816030768,1815779413,1815630519,1816380982,1815681391,1815516586,1815991707
1755094916,3452171992,1816034514,1815783136,1815634249,1816384755,1815685221,1815520365,1815995580
1755094917,3452172718,1816035218,1815783860,1815634969,1816385431,1815685841,1815521043,1815996167
1755094918,3452172791,1816035289,1815783940,1815635040,1816385503,1815685914,1815521123,1815996240
1755094919,3452172861,1816035362,1815784022,1815635111,1816385574,1815685987,1815521207,1815996311
1755094920,3452172934,1816035436,1815784106,1815635184,1816385646,1815686060,1815521290,1815996384
1755094922,3452173007,1816035509,1815784190,1815635257,1816385719,1815686133,1815521374,1815996457
1755094923,3452173082,1816035584,1815784273,1815635332,1816385792,1815686206,1815521456,1815996532
1755094924,3452173157,1816035657,1815784355,1815635405,1816385865,1815686279,1815521538,1815996605
1755094925,3452173228,1816035728,1815784439,1815635477,1816385937,1815686351,1815521622,1815996678
1755094926,3452173301,1816035801,1815784521,1815635549,1816386009,1815686421,1815521705,1815996749
1755094927,3452173372,1816035871,1815784602,1815635620,1816386079,1815686494,1815521787,1815996820
1755094928,3452173444,1816035943,1815784683,1815635690,1816386150,1815686565,1815521866,1815996891
1755094929,3452173515,1816036015,1815784763,1815635763,1816386221,1815686636,1815521948,1815996964
1755094931,3452173590,1816036090,1815784844,1815635836,1816386296,1815686711,1815522029,1815997039
1755094932,3452173665,1816036163,1815784926,1815635912,1816386369,1815686784,1815522109,1815997110
1755094933,3452173738,1816036236,1815785007,1815635982,1816386440,1815686857,1815522190,1815997183
1755094934,3452173809,1816036306,1815785091,1815636053,1816386513,1815686928,1815522274,1815997254
1755094935,3452173879,1816036377,1815785172,1815636124,1816386582,1815686999,1815522355,1815997325
1755094936,3452173950,1816036447,1815785254,1815636193,1816386652,1815687069,1815522437,1815997395
1755094937,3452174023,1816036518,1815785333,1815636266,1816386723,1815687142,1815522518,1815997466
1755094938,3452174099,1816036594,1815785417,1815636341,1816386798,1815687218,1815522600,1815997541
1755094940,3452174174,1816036669,1815785501,1815636417,1816386874,1815687293,1815522683,1815997619
1755094941,3452174251,1816036746,1815785582,1815636493,1816386951,1815687368,1815522765,1815997694
1755094942,3452174323,1816036817,1815785673,1815636564,1816387022,1815687441,1815522856,1815997767
1755094943,3452174392,1816036887,1815785673,1815636632,1816387090,1815687509,1815522856,1815997835
1755094944,3452174486,1816036960,1815785673,1815636704,1816387163,1815687582,1815522856,1815997908
1755094945,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094946,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094947,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094949,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094950,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094951,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094952,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094953,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094954,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094955,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094956,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094958,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094959,3452174532,1816037033,1815785673,1815636783,1816387250,1815687660,1815522856,1815997984
1755094960,3452174532,1816037033,1815785675,1815636783,1816387250,1815687660,1815522856,1815997984
1755094961,3452174532,1816037033,1815785761,1815636783,1816387250,1815687660,1815522939,1815997984
1755094962,3452174532,1816037033,1815785846,1815636783,1816387250,1815687660,1815523024,1815997984
1755094963,3452174532,1816037033,1815785930,1815636783,1816387250,1815687660,1815523106,1815997984
1755094964,3452174579,1816037080,1815786011,1815636818,1816387269,1815687694,1815523188,1815998027
1755094965,3452174650,1816037151,1815786093,1815636886,1816387336,1815687763,1815523269,1815998095
1755094967,3452174722,1816037222,1815786174,1815636957,1816387408,1815687835,1815523352,1815998167
1755094968,3452174793,1816037295,1815786256,1815637030,1816387478,1815687906,1815523433,1815998239
