Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1755318896,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318897,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318898,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318900,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318901,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318902,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318903,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318904,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318905,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318906,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318907,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318909,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318910,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318911,633360008,2532679202,2527594934,2531455944,2526389400,2525885232,2525522342,2530628479
1755318912,633361831,2532681021,2527596759,2531457767,2526391238,2525887056,2525524167,2530630316
1755318913,633364253,2532683426,2527599158,2531460161,2526393639,2525889451,2525526546,2530632751
1755318915,633366524,2532685674,2527601408,2531462404,2526395892,2525891688,2525528773,2530634985
1755318916,633368795,2532687930,2527603670,2531464668,2526398155,2525893937,2525531010,2530637212
1755318917,633371527,2532690664,2527606410,2531467409,2526400890,2525896646,2525533733,2530639930
1755318919,633374073,2532693182,2527608930,2531469933,2526403420,2525899167,2525536254,2530642470
1755318920,633376541,2532695633,2527611369,2531472365,2526405855,2525901583,2525538678,2530644913
1755318921,633378723,2532697808,2527613557,2531474539,2526408040,2525903753,2525540821,2530647088
1755318923,633381205,2532700291,2527616032,2531477007,2526410508,2525906193,2525543262,2530649565
1755318924,633383699,2532702753,2527618482,2531479462,2526412974,2525908629,2525545723,2530652031
1755318925,633386192,2532705232,2527620958,2531481946,2526415474,2525911120,2525548183,2530654496
1755318927,633388568,2532707590,2527623315,2531484271,2526417799,2525913415,2525550459,2530656781
1755318928,633391074,2532710082,2527625824,2531486771,2526420314,2525915939,2525552975,2530659331
1755318929,633393757,2532712748,2527628489,2531489439,2526423009,2525918589,2525555616,2530661976
1755318931,633396438,2532715424,2527631158,2531492093,2526425659,2525921219,2525558252,2530664633
1755318932,633398955,2532717935,2527633669,2531494599,2526428190,2525923733,2525560739,2530667142
1755318933,633401494,2532720437,2527636177,2531497111,2526430699,2525926222,2525563223,2530669635
1755318935,633404064,2532723005,2527638735,2531499658,2526433253,2525928749,2525565749,2530672172
1755318936,633406599,2532725499,2527641230,2531502145,2526435737,2525931202,2525568195,2530674644
1755318937,633409010,2532727919,2527643647,2531504554,2526438153,2525933623,2525570601,2530677081
1755318939,633410950,2532729842,2527645565,2531506466,2526440056,2525935511,2525572475,2530678954
1755318940,633413572,2532732454,2527648182,2531509074,2526442683,2525938151,2525575122,2530681623
1755318941,633415935,2532734803,2527650536,2531511416,2526445061,2525940476,2525577437,2530683969
1755318943,633418636,2532737479,2527653217,2531514088,2526447752,2525943137,2525580091,2530686641
1755318944,633421140,2532739960,2527655695,2531516561,2526450215,2525945582,2525582531,2530689079
1755318945,633423563,2532742383,2527658124,2531518990,2526452628,2525947984,2525584924,2530691489
1755318947,633426128,2532744956,2527660699,2531521545,2526455194,2525950516,2525587447,2530694024
1755318948,633428749,2532747526,2527663284,2531524115,2526457780,2525953108,2525590036,2530696627
1755318949,633431453,2532750238,2527665996,2531526810,2526460483,2525955748,2525592678,2530699282
1755318951,633433967,2532752712,2527668456,2531529275,2526462957,2525958199,2525595131,2530701755
1755318952,633436844,2532755590,2527671337,2531532156,2526465862,2525961075,2525598035,2530704671
1755318953,633439418,2532758158,2527673920,2531534743,2526468448,2525963619,2525600571,2530707224
1755318955,633442035,2532760753,2527676502,2531537310,2526471010,2525966158,2525603102,2530709758
1755318956,633444486,2532763192,2527678956,2531539764,2526473463,2525968589,2525605534,2530712214
1755318957,633446959,2532765650,2527681431,2531542233,2526475930,2525971047,2525607990,2530714706
1755318959,633449426,2532768127,2527683921,2531544728,2526478435,2525973510,2525610460,2530717173
1755318960,633452005,2532770671,2527686461,2531547265,2526480973,2525976019,2525612980,2530719715
1755318961,633454659,2532773314,2527689107,2531549900,2526483619,2525978655,2525615607,2530722364
1755318963,633457350,2532775991,2527691788,2531552564,2526486291,2525981327,2525618262,2530725036
1755318964,633460031,2532778670,2527694463,2531555226,2526488947,2525983952,2525620874,2530727661
1755318965,633462406,2532781024,2527696822,2531557590,2526491337,2525986332,2525623259,2530730062
1755318967,633465013,2532783611,2527699421,2531560175,2526493894,2525988863,2525625776,2530732598
1755318968,633467165,2532785756,2527701569,2531562307,2526496040,2525991028,2525627933,2530734766
1755318970,633469984,2532788553,2527704383,2531565111,2526498858,2525993781,2525630680,2530737536
1755318971,633472606,2532791169,2527707002,2531567719,2526501476,2525996385,2525633318,2530740198
1755318972,633474959,2532793504,2527709344,2531570037,2526503794,2525998695,2525635601,2530742512
1755318974,633476828,2532795357,2527711202,2531571897,2526505641,2526000524,2525637428,2530744348
1755318975,633479301,2532797809,2527713662,2531574367,2526508116,2526002973,2525639883,2530746811
1755318976,633481810,2532800297,2527716152,2531576852,2526510588,2526005416,2525642345,2530749288
1755318978,633484299,2532802778,2527718625,2531579331,2526513073,2526007881,2525644796,2530751779
1755318979,633486828,2532805323,2527721165,2531581868,2526515612,2526010405,2525647311,2530754312
1755318980,633489230,2532807693,2527723541,2531584249,2526517986,2526012785,2525649683,2530756721
1755318982,633491744,2532810190,2527726042,2531586739,2526520481,2526015259,2525652140,2530759201
1755318983,633494223,2532812671,2527728531,2531589208,2526522950,2526017706,2525654590,2530761668
1755318984,633496746,2532815212,2527731075,2531591749,2526525495,2526020249,2525657125,2530764267
1755318986,633499195,2532817622,2527733488,2531594147,2526527892,2526022611,2525659492,2530766622
1755318987,633501676,2532820101,2527735972,2531596627,2526530383,2526025082,2525661969,2530769154
1755318988,633504358,2532822762,2527738642,2531599298,2526533053,2526027720,2525664593,2530771819
1755318990,633506862,2532825256,2527741136,2531601787,2526535561,2526030213,2525667102,2530774322
1755318991,633509534,2532827906,2527743792,2531604433,2526538222,2526032859,2525669720,2530776967
1755318992,633511863,2532830212,2527746096,2531606728,2526540530,2526035163,2525672011,2530779273
1755318994,633514393,2532832732,2527748620,2531609253,2526543043,2526037638,2525674483,2530781799
1755318995,633517098,2532835432,2527751320,2531611957,2526545748,2526040330,2525677175,2530784499
1755318996,633519717,2532838035,2527753914,2531614560,2526548338,2526042928,2525679773,2530787126
1755318998,633522205,2532840510,2527756395,2531617033,2526550815,2526045375,2525682206,2530789582
1755318999,633524682,2532842969,2527758854,2531619478,2526553264,2526047778,2525684602,2530791995
1755319000,633527167,2532845451,2527761331,2531621949,2526555748,2526050240,2525687054,2530794461
1755319002,633529716,2532848010,2527763892,2531624501,2526558319,2526052788,2525689607,2530797061
1755319003,633532465,2532850737,2527766617,2531627232,2526561056,2526055508,2525692329,2530799781
1755319004,633534615,2532852875,2527768751,2531629365,2526563184,2526057598,2525694409,2530801869
1755319006,633537196,2532855444,2527771338,2531631944,2526565796,2526060202,2525697009,2530804507
1755319007,633539883,2532858116,2527774018,2531634624,2526568444,2526062832,2525699630,2530807168
1755319008,633542686,2532860892,2527776809,2531637405,2526571213,2526065585,2525702369,2530809899
1755319010,633545172,2532863368,2527779282,2531639886,2526573692,2526068046,2525704849,2530812398
1755319011,633547992,2532866180,2527782136,2531642736,2526576558,2526070881,2525707673,2530815245
1755319013,633550592,2532868793,2527784734,2531645331,2526579159,2526073459,2525710248,2530817870
1755319014,633553228,2532871387,2527787328,2531647917,2526581742,2526076025,2525712792,2530820431
1755319015,633555707,2532873856,2527789806,2531650390,2526584216,2526078484,2525715248,2530822895
1755319017,633558180,2532876321,2527792279,2531652870,2526586691,2526080938,2525717697,2530825383
1755319018,633560713,2532878860,2527794823,2531655415,2526589259,2526083496,2525720245,2530827967
1755319019,633563199,2532881311,2527797285,2531657868,2526591697,2526085908,2525722651,2530830406
1755319021,633565869,2532883947,2527799933,2531660539,2526594374,2526088555,2525725307,2530833080
1755319022,633567110,2532885176,2527801163,2531661734,2526595571,2526089733,2525726485,2530834261
1755319023,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
1755319024,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
1755319025,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
1755319026,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
1755319027,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
1755319029,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
1755319030,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
1755319031,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
1755319032,633567112,2532885181,2527801168,2531661739,2526595576,2526089738,2525726490,2530834266
