Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1744415430,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415431,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415433,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415434,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415435,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415436,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415437,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415438,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415439,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415441,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415442,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415443,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415444,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415445,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415446,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415448,490394269,490422069,491104614,489752348,490271764,490873541,489860362,489813369
1744415449,490397374,490425174,491107720,489755453,490274871,490876648,489863469,489816475
1744415450,490399287,490427113,491109686,489757420,490276864,490878668,489865516,489818546
1744415451,490410500,490438310,491120876,489768625,490288051,490889844,489876682,489829701
1744415452,490421695,490449501,491132068,489779820,490299246,490901041,489887886,489840903
1744415453,490432896,490460699,491143264,489791021,490310443,490912237,489899068,489852088
1744415454,490444115,490471913,491154480,489802239,490321673,490923453,489910283,489863301
1744415456,490455359,490483151,491165716,489813480,490332911,490934692,489921530,489874549
1744415457,490466606,490494393,491176961,489824727,490344158,490945940,489932764,489885783
1744415458,490477863,490505646,491188212,489835983,490355413,490957195,489944013,489897032
1744415459,490489092,490516868,491199436,489847209,490366639,490968420,489955235,489908252
1744415460,490500290,490528061,491210630,489858407,490377836,490979617,489966436,489919456
1744415461,490511520,490539285,491221855,489869636,490389063,490990842,489977648,489930669
1744415462,490522701,490550464,491233032,489880817,490400245,491002022,489988827,489941848
1744415464,490533896,490561651,491244219,489892008,490411433,491013200,490000023,489953053
1744415465,490545205,490572957,491255524,489903316,490422740,491024516,490011325,489964352
1744415466,490556438,490584183,491266754,489914548,490433972,491035746,490022553,489975583
1744415467,490567675,490595415,491277975,489925773,490445197,491046969,490033761,489986792
1744415468,490579191,490606926,491289488,489937289,490456713,491058483,490045273,489998304
1744415469,490590422,490618153,491300713,489948518,490467942,491069711,490056500,490009532
1744415470,490601730,490629456,491312017,489959825,490479249,491081016,490067805,490020833
1744415472,490613062,490640783,491323357,489971156,490490579,491092343,490079127,490032157
1744415473,490624430,490652140,491334715,489982517,490501940,491103706,490090499,490043518
1744415474,490635779,490663490,491346063,489993870,490513291,491115054,490101844,490054865
1744415475,490647143,490674848,491357423,490005233,490524654,491126416,490113204,490066224
1744415476,490658520,490686220,491368795,490016621,490536029,491137790,490124575,490077595
1744415477,490670011,490697707,491380282,490028108,490547517,491149275,490136064,490089083
1744415478,490681409,490709094,491391669,490039503,490558908,491160667,490147445,490100467
1744415480,490692809,490720496,491403070,490050905,490570310,491172069,490158854,490111876
1744415481,490704225,490731906,491414481,490062321,490581724,491183481,490170264,490123286
1744415482,490715645,490743320,491425897,490073738,490593145,491194899,490181668,490134688
1744415483,490727197,490754867,491437445,490085290,490604693,491206452,490193224,490146247
1744415484,490738604,490766269,491448844,490096694,490616095,491217852,490204623,490157643
1744415485,490750343,490778004,491460580,490108434,490627835,491229590,490216346,490169367
1744415487,490761726,490789384,491471959,490119817,490639218,491240971,490227729,490180747
1744415488,490773096,490800757,491483335,490131193,490650594,491252348,490239111,490192132
1744415489,490784488,490812133,491494711,490142575,490661976,491263726,490250476,490203498
1744415490,490795887,490823529,491506106,490153973,490673373,491275124,490261868,490214894
1744415491,490807301,490834938,491517515,490165384,490684784,491286531,490273276,490226303
1744415492,490818823,490846460,491529042,490176915,490696318,491298059,490284810,490237838
1744415493,490830228,490857851,491540424,490188298,490707697,491309440,490296189,490249217
1744415495,490841623,490869241,491551811,490199693,490719090,491320832,490307579,490260605
1744415496,490853071,490880679,491563253,490211136,490730533,491332275,490319008,490272034
1744415497,490864478,490892095,491574689,490222575,490741972,491343711,490330452,490283479
1744415498,490875946,490903548,491586122,490234011,490753408,491355147,490341883,490294902
1744415499,490887380,490914979,491597552,490245445,490764839,491366575,490353308,490306328
1744415500,490898828,490926422,491608996,490256894,490776289,491378025,490364753,490317774
1744415501,490910280,490937868,491620443,490268344,490787738,491389472,490376209,490329228
1744415503,490921709,490949292,491631868,490279772,490799165,491400898,490387622,490340641
1744415504,490933431,490961010,491643584,490291492,490810889,491412615,490399336,490352357
1744415505,490944764,490972338,491654912,490302824,490822227,491423946,490410674,490363695
1744415506,490956148,490983717,491666291,490314205,490833607,491435324,490422041,490375060
1744415507,490967535,490995095,491677672,490325590,490844992,491446714,490433421,490386441
1744415508,490978922,491006481,491689056,490336979,490856380,491458100,490444803,490397824
1744415510,490990379,491017933,491700511,490348434,490867835,491469556,490456267,490409286
1744415511,491001963,491029511,491712088,490360017,490879417,491481134,490467833,490420855
1744415512,491013312,491040856,491723433,490371366,490890765,491492481,490479187,490432210
1744415513,491024704,491052240,491734819,490382753,490902152,491503869,490490562,490443582
1744415514,491036124,491063656,491746235,490394174,490913572,491515287,490501987,490455007
1744415515,491047592,491075121,491757698,490405642,490925039,491526751,490513438,490466472
1744415516,491059034,491086558,491769136,490417083,490936480,491538191,490524875,490477909
1744415518,491070500,491098023,491780590,490428539,490947935,491549646,490536327,490489361
1744415519,491082010,491109530,491792094,490440048,490959443,491561151,490547840,490500874
1744415520,491093451,491120965,491803530,490451486,490970880,491572587,490559273,490512307
1744415521,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
1744415522,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
1744415523,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
1744415524,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
1744415526,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
1744415527,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
1744415528,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
1744415529,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
1744415530,491102511,491130004,491812561,490460504,490979882,491581567,490568231,490521244
